PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19
Par,Splinter City DGC,Splinter City Gold,2021-07-01 09:29,58,0,3,4,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4
Dima,Splinter City DGC,Splinter City Gold,2021-07-01 09:29,64,6,4,5,3,3,6,3,3,3,3,3,4,4,3,3,3,4,3,4
Timur ,Splinter City DGC,Splinter City Gold,2021-07-01 09:29,63,5,3,4,3,3,5,3,3,3,4,3,5,3,3,3,3,4,3,5
