PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19
Par,Mercer County Park,Shorts Layout,2021-07-09 17:40,55,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Dima,Mercer County Park,Shorts Layout,2021-07-09 17:40,61,6,3,5,3,3,3,3,5,4,3,4,2,3,3,4,3,4,3,3
Timur ,Mercer County Park,Shorts Layout,2021-07-09 17:40,61,6,4,5,3,2,3,3,3,4,3,4,3,4,3,3,3,4,3,4
Leonid Mayer ,Mercer County Park,Shorts Layout,2021-07-09 17:40,69,14,3,5,4,5,3,2,4,5,5,5,3,3,3,5,3,4,4,3
Frank Kates,Mercer County Park,Shorts Layout,2021-07-09 17:40,58,3,3,4,2,3,3,3,3,4,3,5,2,3,3,4,3,3,3,4
